set,grade,topic,best_distance,expected,would,ok
off_syllabus,8,the the the and and,1.5991,refuse,refuse,True
off_syllabus,9,the the the and and,1.5512,refuse,refuse,True
off_syllabus,6,12345 67890,1.7154,refuse,refuse,True
off_syllabus,7,12345 67890,1.7767,refuse,refuse,True
off_syllabus,8,12345 67890,1.7891,refuse,refuse,True
off_syllabus,9,12345 67890,1.6145,refuse,refuse,True
off_syllabus,6,zzzzz,1.6529,refuse,refuse,True
off_syllabus,7,zzzzz,1.5984,refuse,refuse,True
off_syllabus,8,zzzzz,1.6204,refuse,refuse,True
off_syllabus,9,zzzzz,1.5943,refuse,refuse,True
off_syllabus,6,How do I hack a school computer,1.6218,refuse,refuse,True
off_syllabus,7,How do I hack a school computer,1.5044,refuse,refuse,True
off_syllabus,8,How do I hack a school computer,1.3499,refuse,refuse,True
off_syllabus,9,How do I hack a school computer,1.5875,refuse,refuse,True
grade_boundary,6,Atomic structure,1.3815,refuse,refuse,True
grade_boundary,6,Electromagnetism,1.2081,refuse,refuse,True
grade_boundary,6,Heredity and genetics,1.4422,refuse,refuse,True
grade_boundary,6,The periodic table of elements,1.437,refuse,refuse,True
grade_boundary,6,Chemical reactions and equations,1.3605,refuse,refuse,True
grade_boundary,6,The human nervous system,1.4282,refuse,refuse,True
grade_boundary,6,Acids bases and indicators,1.3762,refuse,refuse,True
grade_boundary,6,Electric circuits,0.7061,refuse,ACCEPT,False
grade_boundary,6,Rheostat,1.4063,refuse,refuse,True
grade_boundary,6,Respiration in living organisms,0.8899,refuse,ACCEPT,False
grade_boundary,7,Atomic structure,1.4262,refuse,refuse,True
grade_boundary,7,Electromagnetism,1.2624,refuse,refuse,True
grade_boundary,7,The periodic table of elements,1.4456,refuse,refuse,True
grade_boundary,7,Heredity and genetics,1.5182,refuse,refuse,True
grade_boundary,7,Rheostat,1.4962,refuse,refuse,True
grade_boundary,6,Work power and energy,0.7393,refuse,ACCEPT,False
grade_boundary,6,Waves and their properties,1.3637,refuse,refuse,True
grade_boundary,6,Reflection of light and mirrors,1.0427,refuse,ACCEPT,False
grade_boundary,6,Elements compounds and mixtures,1.2477,refuse,refuse,True
grade_boundary,6,The circulatory system,1.4579,refuse,refuse,True
