topic,grade,gt_pages,kind,number,start_page,end_page,source_file
Water as a medium of life,7,3.0,section,4.3,60,63,G7P1.pdf
Acids and Bases,7,9.0,chapter,5,63,72,G7P1.pdf
Identification of acids and bases,7,1.0,section,5.1,63,64,G7P1.pdf
Acids and bases available in school laboratory and home,7,8.0,section,5.2,64,72,G7P1.pdf
Animal Diversity,7,15.0,chapter,6,72,87,G7P1.pdf
Vertebrates and invertebrates,7,6.0,section,6.1,72,78,G7P1.pdf
Adaptations of organisms to environment,7,5.0,section,6.2,78,83,G7P1.pdf
Use of dichotomous key for classification of organisms,7,4.0,section,6.3,83,87,G7P1.pdf
Forms of Energy and Uses,7,18.0,chapter,7,87,105,G7P1.pdf
Kinetic energy,7,2.0,section,7.1,90,92,G7P1.pdf
Potential energy,7,2.0,section,7.2,92,94,G7P1.pdf
Electrical energy,7,2.0,section,7.3,94,96,G7P1.pdf
Sound energy,7,1.0,section,7.4,96,97,G7P1.pdf
Light energy,7,2.0,section,7.5,97,99,G7P1.pdf
Heat/thermal energy,7,2.0,section,7.6,99,101,G7P1.pdf
Chemical energy,7,4.0,section,7.7,101,105,G7P1.pdf
The Nature of the Earth,7,10.0,chapter,8,105,115,G7P1.pdf
The structure of the earth,7,4.0,section,8.1,105,109,G7P1.pdf
Tectonic plate and plate tectonics,7,6.0,section,8.2,109,115,G7P1.pdf
Light,7,23.0,chapter,9,115,138,G7P1.pdf
Formation of umbra and penumbra,7,6.0,section,9.1,115,121,G7P1.pdf
Images formed by plane mirrors,7,8.0,section,9.2,121,129,G7P1.pdf
Images formed by curved mirrors,7,9.0,section,9.3,129,138,G7P1.pdf
The Correct Use of the Microscope,7,11.0,chapter,10,138,149,G7P1.pdf
The simple microscope,7,1.0,section,10.1,139,141,G7P1.pdf
Magnification of a microscope and resolving power,7,1.0,section,10.2,139,141,G7P1.pdf
Compound light microscope,7,6.0,section,10.3,141,147,G7P1.pdf
The electron microscope,7,2.0,section,10.4,147,149,G7P1.pdf
Sound,7,10.0,chapter,11,1,11,G7P2.pdf
Production of Sound,7,4.0,section,11.1,1,5,G7P2.pdf
Propagation of sound,7,6.0,section,11.2,5,11,G7P2.pdf
Biological Processes,7,17.0,chapter,12,11,28,G7P2.pdf
Organisational levels of life,7,8.0,section,12.1,11,19,G7P2.pdf
Systems of the human body,7,9.0,section,12.2,19,28,G7P2.pdf
Atmosphere,7,12.0,chapter,13,28,40,G7P2.pdf
Layers of atmosphere,7,5.0,section,13.1,28,33,G7P2.pdf
Air and its components,7,7.0,section,13.2,33,40,G7P2.pdf
Heat and Temperature,7,19.0,chapter,14,40,59,G7P2.pdf
Measuring temperature,7,2.0,section,14.1,40,42,G7P2.pdf
Thermometers,7,7.0,section,14.2,42,49,G7P2.pdf
Heat transfer,7,5.0,section,14.3,49,54,G7P2.pdf
Application of convectional currents,7,5.0,section,14.4,54,59,G7P2.pdf
Soil,7,14.0,chapter,15,59,73,G7P2.pdf
Different types of soil,7,2.0,section,15.1,59,61,G7P2.pdf
Composition of soil,7,7.0,section,15.2,61,68,G7P2.pdf
Soil erosion,7,5.0,section,15.3,68,73,G7P2.pdf
Force and Motion,7,13.0,chapter,16,73,86,G7P2.pdf
Distance and displacement,7,4.0,section,16.1,73,77,G7P2.pdf
Force,7,9.0,section,16.2,77,86,G7P2.pdf
Nutrients in Food,7,14.0,chapter,17,86,100,G7P2.pdf
Food and nutrients,7,7.0,section,17.1,86,93,G7P2.pdf
Tests to identify food,7,7.0,section,17.2,93,100,G7P2.pdf
Minerals and Rocks,7,13.0,chapter,18,100,113,G7P2.pdf
Features of minerals and rocks,7,1.5,section,18.1,101,104,G7P2.pdf
Kinds of rocks and minerals,7,1.5,section,18.2,101,104,G7P2.pdf
Rock weathering,7,3.0,section,18.3,104,107,G7P2.pdf
Rock cycle,7,6.0,section,18.4,107,113,G7P2.pdf
Sources of Energy,7,15.0,chapter,19,113,128,G7P2.pdf
Renewable energy sources,7,7.0,section,19.1,115,122,G7P2.pdf
Non-renewable energy sources,7,3.0,section,19.2,122,125,G7P2.pdf
Sustainable usage of energy sources,7,3.0,section,19.3,125,128,G7P2.pdf
Importance of Microorganisms,8,11.0,chapter,1,1,12,G8P1.pdf
Microorganisms,8,2.0,section,1.1,1,3,G8P1.pdf
Effects of microorganisms on food,8,3.0,section,1.2,3,6,G8P1.pdf
Impact of microorganisms on humans and their activities,8,6.0,section,1.3,6,12,G8P1.pdf
Animal Classification,8,12.0,chapter,2,12,24,G8P1.pdf
Main invertebrate groups,8,4.0,section,2.1,13,17,G8P1.pdf
Main vertebrate groups,8,7.0,section,2.2,17,24,G8P1.pdf
Diversity and Functions of Plant Parts,8,15.0,chapter,3,24,39,G8P1.pdf
Diversity and functions of plant leaves,8,5.0,section,3.1,25,30,G8P1.pdf
Diversity and functions of plant stems,8,3.0,section,3.2,30,33,G8P1.pdf
Diversity and functions of plant roots,8,6.0,section,3.3,33,39,G8P1.pdf
Properties of Matter,8,23.0,chapter,4,39,62,G8P1.pdf
Discontinous nature of matter,8,6.0,section,4.1,39,45,G8P1.pdf
Utilizing physical properties of matter,8,17.0,section,4.2,45,62,G8P1.pdf
Sound,8,16.0,chapter,5,62,78,G8P1.pdf
Musical instruments that produce sound by vibrating membranes,8,2.0,section,5.1,65,67,G8P1.pdf
Musical instruments that produce sound by vibrating air columns,8,2.0,section,5.2,67,69,G8P1.pdf
Musical instruments that produce sound by vibrating strings/rods,8,9.0,section,5.3,69,78,G8P1.pdf
Magnets,8,17.0,chapter,6,78,95,G8P1.pdf
Poles of a magnet,8,2.0,section,6.1,79,81,G8P1.pdf
Magnetic field of a magnet,8,2.0,section,6.2,81,83,G8P1.pdf
Compass,8,2.0,section,6.3,83,85,G8P1.pdf
Geomagnetism,8,1.0,section,6.4,85,86,G8P1.pdf
Temporary magnets and permanent magnets,8,9.0,section,6.5,86,95,G8P1.pdf
Measurements Associated with Electricity,8,12.0,chapter,7,95,107,G8P1.pdf
Electric current,8,4.0,section,7.1,95,99,G8P1.pdf
Potential difference,8,4.0,section,7.2,99,103,G8P1.pdf
Resistance of a conductor,8,4.0,section,7.3,103,107,G8P1.pdf
Changes in Matter,8,21.0,chapter,8,107,128,G8P1.pdf
Physical changes and chemical changes,8,2.0,section,8.1,107,109,G8P1.pdf
Changes of state as physical changes,8,1.0,section,8.2,109,110,G8P1.pdf
Chemical changes,8,5.0,section,8.3,110,115,G8P1.pdf
Combustion,8,4.0,section,8.4,115,119,G8P1.pdf
Tarnishing of metals,8,3.0,section,8.5,119,122,G8P1.pdf
Neutralisation,8,6.0,section,8.6,122,128,G8P1.pdf
Human organ systems,8,17.0,chapter,9,1,18,G8P2.pdf
Human excretory system and excretory products,8,5.0,section,9.1,1,6,G8P2.pdf
Nervous system,8,5.0,section,9.2,6,11,G8P2.pdf
Human skin,8,7.0,section,9.3,11,18,G8P2.pdf
Electricity,8,28.0,chapter,10,18,46,G8P2.pdf
Various methods of connecting cells and bulbs,8,5.0,section,10.1,18,23,G8P2.pdf
Simple electric circuits,8,1.0,section,10.2,23,24,G8P2.pdf
Current controlling components,8,6.0,section,10.3,24,30,G8P2.pdf
Household electrical appliances,8,2.0,section,10.4,30,32,G8P2.pdf
Heating effect of electric current,8,3.0,section,10.5,32,35,G8P2.pdf
Light effect of electric current,8,1.0,section,10.6,35,36,G8P2.pdf
Magnetic effect of electric current,8,3.0,section,10.7,36,39,G8P2.pdf
Chemical effect of electric current,8,7.0,section,10.8,39,46,G8P2.pdf
Main biological processes in plants,8,16.0,chapter,11,46,62,G8P2.pdf
Photosynthesis,8,5.0,section,11.1,46,51,G8P2.pdf
Transportation,8,4.0,section,11.2,51,55,G8P2.pdf
Transpiration,8,2.0,section,11.3,55,57,G8P2.pdf
Guttation,8,5.0,section,11.4,57,62,G8P2.pdf
Life cycles of living organisms,8,18.0,chapter,12,62,80,G8P2.pdf
Life cycles of animals,8,7.0,section,12.1,64,71,G8P2.pdf
Life cycles of plants,8,1.0,section,12.2,71,72,G8P2.pdf
Importance of learning the life cycles,8,8.0,section,12.3,72,80,G8P2.pdf
Food Preservation,8,17.0,chapter,13,80,97,G8P2.pdf
Need of food preservation,8,2.0,section,13.1,80,82,G8P2.pdf
Food preservation Methods,8,5.0,section,13.2,82,87,G8P2.pdf
Food preservatives,8,4.0,section,13.3,87,91,G8P2.pdf
Advantages and disadvantages of food preservation,8,1.0,section,13.4,91,92,G8P2.pdf
Information in a label of a food package,8,5.0,section,13.5,92,97,G8P2.pdf
Phenomena and exploration associated with the solar system,8,31.0,chapter,14,97,128,G8P2.pdf
The Solar system,8,6.0,section,14.1,97,103,G8P2.pdf
Occurance of seasonal changes,8,1.0,section,14.2,103,104,G8P2.pdf
Occurance of phases of moon,8,2.0,section,14.3,104,106,G8P2.pdf
Important incidents associated with solar system,8,5.0,section,14.4,106,111,G8P2.pdf
Exploring the universe,8,3.0,section,14.5,111,114,G8P2.pdf
Artificial satellites,8,4.0,section,14.6,114,118,G8P2.pdf
Constellations,8,10.0,section,14.7,118,128,G8P2.pdf
Natural Disasters,8,15.0,chapter,15,128,143,G8P2.pdf
Drought,8,5.0,section,15.1,129,134,G8P2.pdf
Floods,8,1.0,section,15.2,134,135,G8P2.pdf
Landslide / Earth slip,8,2.0,section,15.3,135,137,G8P2.pdf
Lightning and thundering,8,6.0,section,15.4,137,143,G8P2.pdf
Applications of Micro-organisms,9,15.0,chapter,1,1,16,G9P1.pdf
Micro-organisms,9,2.0,section,1.1,1,3,G9P1.pdf
Environments and substrates of micro-organisms,9,1.0,section,1.2,3,4,G9P1.pdf
Effects of micro-organisms,9,12.0,section,1.3,4,16,G9P1.pdf
Eye and Ear,9,22.0,chapter,2,16,38,G9P1.pdf
Structure and function of the human eye,9,6.0,section,2.1,16,22,G9P1.pdf
Defects of vision,9,7.0,section,2.2,22,29,G9P1.pdf
Eye diseases,9,2.0,section,2.3,29,31,G9P1.pdf
Structure and function of the human ear,9,2.0,section,2.4,31,33,G9P1.pdf
Defects of ear,9,5.0,section,2.5,33,38,G9P1.pdf
Nature and Properties of Matter,9,14.0,chapter,3,38,52,G9P1.pdf
Elements,9,5.0,section,3.1,39,44,G9P1.pdf
Compounds,9,2.0,section,3.2,44,46,G9P1.pdf
Mixtures,9,6.0,section,3.3,46,52,G9P1.pdf
Basic Concepts Associated with Force,9,8.0,chapter,4,52,60,G9P1.pdf
Force,9,1.0,section,4.1,52,53,G9P1.pdf
Magnitude of force,9,1.0,section,4.2,53,54,G9P1.pdf
Direction of force and point of application,9,2.0,section,4.3,54,56,G9P1.pdf
Graphical representation of force,9,4.0,section,4.4,56,60,G9P1.pdf
Pressure Exerted by Solid,9,12.0,chapter,5,60,72,G9P1.pdf
Pressure,9,1.0,section,5.1,60,61,G9P1.pdf
Factors affecting the pressure,9,5.0,section,5.2,61,66,G9P1.pdf
Units of pressure,9,1.0,section,5.3,66,67,G9P1.pdf
Changing the factors affecting pressure as needed,9,5.0,section,5.4,67,72,G9P1.pdf
The Human Circulatory System,9,11.0,chapter,6,72,83,G9P1.pdf
Structure of the human heart,9,1.0,section,6.1,72,73,G9P1.pdf
"Arteries, veins and capillaries",9,2.0,section,6.2,73,75,G9P1.pdf
Components of blood and their functions,9,1.0,section,6.3,75,76,G9P1.pdf
Blood transfusion,9,7.0,section,6.4,76,83,G9P1.pdf
Plant Growth Substances,9,6.0,chapter,7,83,89,G9P1.pdf
Introduction to plant growth substances,9,3.0,section,7.1,83,86,G9P1.pdf
Uses of artificial growth substances,9,3.0,section,7.2,86,89,G9P1.pdf
Support and Movements of Organisms,9,9.0,chapter,8,89,98,G9P1.pdf
Support and movements of animals,9,1.0,section,8.1,89,90,G9P1.pdf
"Bones, muscles and joints",9,2.0,section,8.2,90,92,G9P1.pdf
Support and movements of plants,9,6.0,section,8.3,92,98,G9P1.pdf
The Evolutionary Process,9,12.0,chapter,9,98,110,G9P1.pdf
Origin of the Earth,9,1.0,section,9.1,98,99,G9P1.pdf
Origin of life on the Earth,9,3.0,section,9.2,99,102,G9P1.pdf
Evolution,9,5.0,section,9.3,102,107,G9P1.pdf
Importance of evolution in bio-diversity,9,3.0,section,9.4,107,110,G9P1.pdf
Electrolysis,9,9.0,chapter,10,1,10,G9P2.pdf
Electrolysis,9,1.0,section,10.1,1,2,G9P2.pdf
Changes caused in a solution by an electric current,9,3.0,section,10.2,2,5,G9P2.pdf
Electroplating,9,5.0,section,10.3,5,10,G9P2.pdf
Density,9,9.0,chapter,11,10,19,G9P2.pdf
Introduction to density,9,1.0,section,11.1,10,11,G9P2.pdf
Units of density,9,2.0,section,11.2,11,13,G9P2.pdf
Hydrometers,9,6.0,section,11.3,13,19,G9P2.pdf
Bio-diversity,9,23.0,chapter,12,19,42,G9P2.pdf
Introduction to bio-diversity,9,3.0,section,12.1,19,22,G9P2.pdf
Importance of bio-diversity,9,1.0,section,12.2,22,23,G9P2.pdf
Threats to bio-diversity,9,2.0,section,12.3,23,25,G9P2.pdf
Important features of ecosystems,9,4.0,section,12.4,25,29,G9P2.pdf
Natural ecosystems and built environment,9,13.0,section,12.5,29,42,G9P2.pdf
Artificial Environment and Green Concept,9,16.0,chapter,13,42,58,G9P2.pdf
Artificial environment and green concept,9,2.0,section,13.1,42,44,G9P2.pdf
Agricultural process,9,6.0,section,13.2,44,50,G9P2.pdf
Industrial process,9,8.0,section,13.3,50,58,G9P2.pdf
Reflection and Refraction of Waves,9,26.0,chapter,14,58,84,G9P2.pdf
Reflection of light,9,11.0,section,14.1,58,69,G9P2.pdf
Sound,9,6.0,section,14.2,69,75,G9P2.pdf
Refraction of light,9,9.0,section,14.3,75,84,G9P2.pdf
Simple Machines,9,19.0,chapter,15,84,103,G9P2.pdf
Lever,9,7.0,section,15.1,86,93,G9P2.pdf
Inclined plane,9,2.0,section,15.2,93,95,G9P2.pdf
Wheel and axle,9,2.0,section,15.3,95,97,G9P2.pdf
Pulleys,9,6.0,section,15.4,97,103,G9P2.pdf
Nanotechnology and its Applications,9,16.0,chapter,16,103,119,G9P2.pdf
Nanometer,9,1.0,section,16.1,104,105,G9P2.pdf
Nanotechnology,9,7.0,section,16.2,105,112,G9P2.pdf
Applications of nanotechnology,9,3.0,section,16.3,112,115,G9P2.pdf
Future condition that may arise because of nanotechnology,9,4.0,section,16.4,115,119,G9P2.pdf
Lightning Accidents,9,10.0,chapter,17,119,129,G9P2.pdf
How lightning occurs,9,5.0,section,17.1,120,125,G9P2.pdf
Prevention of lightning accidents,9,4.0,section,17.2,125,129,G9P2.pdf
Natural Disasters,9,23.0,chapter,18,129,152,G9P2.pdf
Cyclones,9,5.0,section,18.1,129,134,G9P2.pdf
Earthquakes,9,7.0,section,18.2,134,141,G9P2.pdf
Tsunami,9,4.0,section,18.3,141,145,G9P2.pdf
Wild fires,9,1.0,section,18.4,145,146,G9P2.pdf
The relationship between increase in global warming and natural disasters,9,6.0,section,18.5,146,152,G9P2.pdf
Sustainable Use of Natural Resources,9,17.0,chapter,19,152,169,G9P2.pdf
Water,9,2.0,section,19.1,153,155,G9P2.pdf
Minerals and rocks,9,6.0,section,19.2,155,161,G9P2.pdf
Trees,9,8.0,section,19.3,161,169,G9P2.pdf
